"","iso2c","iso3c","country","date","CO2","Y","E_kwh","Y2","MVA","HDI","KOF"
"109","MA","MAR","Morocco",2008,0.429980887380524,8.78004010861893,8.64717452001373,77.089104308957,-1.98688685108834,-0.527632742082372,4.13950491078109
"110","MA","MAR","Morocco",2009,0.419952284702113,8.81524501170408,8.60996852484672,77.7085446163737,-1.94955667796361,-0.517514611916787,4.13905419272003
"111","MA","MAR","Morocco",2010,0.466256342635598,8.85239133100614,8.70037271338612,78.3648322772727,-1.93733618608856,-0.504181081047322,4.16791495355609
"112","MA","MAR","Morocco",2011,0.530399602318056,8.91168201322555,8.73594728313276,79.4180763048478,-1.94719058449234,-0.484508315448617,4.18626270034931
"113","MA","MAR","Morocco",2012,0.554629689893397,8.91200630122687,8.74019657290712,79.4238563131074,-1.96636430076195,-0.468404907882039,4.20376379333552
"114","MA","MAR","Morocco",2013,0.532879293492517,8.94553254443872,8.75306870620446,80.0225525036123,-1.94362570240308,-0.452556715642015,4.19943034379388
"115","MA","MAR","Morocco",2014,0.538652544347801,8.9026663183019,8.75412224455823,79.2574675750271,-1.88432162941491,-0.438504962186365,4.19329611074367
"116","MA","MAR","Morocco",2015,0.554191692915467,8.97529287399352,8.75910253465934,80.5558821739589,-1.90419955668157,-0.421594490038048,4.21508433173232
"117","MA","MAR","Morocco",2016,0.54075653322283,8.98019398292998,8.75797168896939,80.6438839710518,-1.91411130344876,-0.412489723045129,4.23300405775637
"118","MA","MAR","Morocco",2017,0.5730468514963,9.01106323838881,8.79189998787801,81.1992606862422,-1.92535763631588,-0.398986142010455,4.24140842217859
"119","MA","MAR","Morocco",2018,0.581840108552684,9.05340453386053,8.81442061173655,81.9641336537265,-1.90657720182797,-0.390084006069862,4.24313345067549
"120","MA","MAR","Morocco",2019,0.670547734270732,9.08818437635233,8.89116267886039,82.5950952585746,-1.91396434228161,-0.379797361359587,4.24532500434365
"121","SA","SAU","Saudi Arabia",1990,2.37113289374756,10.5424427679345,10.9682634598187,111.143099515174,-2.48849385758679,-0.358104536748327,3.89637028500772
"122","SA","SAU","Saudi Arabia",1991,2.42337541466474,10.6642448990862,10.9749088782507,113.726119267686,-2.49101842100581,-0.346724613085564,3.93127002856385
"123","SA","SAU","Saudi Arabia",1992,2.45879673045763,10.7005612535741,10.9474703915428,114.502011141491,-2.43537645738372,-0.338273858567841,3.91924933494367
"124","SA","SAU","Saudi Arabia",1993,2.43264431521046,10.684936570833,10.9365509431411,114.167869522723,-2.42884040936243,-0.332679438382517,3.988850805854
"125","SA","SAU","Saudi Arabia",1994,2.41903498588913,10.6863205119329,11.0529846038207,114.197446083757,-2.40250185179746,-0.328504066972036,3.99315462104031
"126","SA","SAU","Saudi Arabia",1995,2.38361063638093,10.683868477027,10.9991609602544,114.145045634411,-2.37577225140988,-0.322963886596421,3.9305895803941
"127","SA","SAU","Saudi Arabia",1996,2.41709647218482,10.7027263789131,11.0054739757379,114.548351941882,-2.35511612478267,-0.317454230785451,3.96272559117149
"128","SA","SAU","Saudi Arabia",1997,2.40131157927128,10.7054826133232,10.9970265772691,114.607357984165,-2.32574118397455,-0.311974765020825,3.9763293037499
"129","SA","SAU","Saudi Arabia",1998,2.43580211334376,10.7198648398212,11.0216273979923,114.915502184034,-2.28492381393148,-0.303811454381665,4.00608340333743
"130","SA","SAU","Saudi Arabia",1999,2.43365667622163,10.6702391749283,11.0138116560368,113.854004050174,-2.30811832302433,-0.301105092783922,4.01001402571121
